availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
愛知県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_23_GML.zip,A19s-10_23_GML.zip,A19s_22_01_23.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
愛知県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_23_GML.zip,A19s-10_23_GML.zip,A19s_22_02_23.shp,,,,,,,,,CP932,,4612,,都市基盤1,
愛知県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_23_GML.zip,A19s-10_23_GML.zip,A19s_22_03_23.shp,,,,,,,,,CP932,,4612,,都市基盤2,
愛知県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_23_GML.zip,A19s-10_23_GML.zip,A19s_22_04_23.shp,,,,,,,,,CP932,,4612,,産業,
愛知県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_23_GML.zip,A19s-05_23_GML.zip,A19s_17_01_23.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
愛知県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_23_GML.zip,A19s-05_23_GML.zip,A19s_17_02_23.shp,,,,,,,,,CP932,,4612,,都市基盤1,
愛知県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_23_GML.zip,A19s-05_23_GML.zip,A19s_17_03_23.shp,,,,,,,,,CP932,,4612,,都市基盤2,
愛知県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_23_GML.zip,A19s-05_23_GML.zip,A19s_17_04_23.shp,,,,,,,,,CP932,,4612,,産業,
愛知県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_23_GML.zip,A19s-00_23_GML.zip,A19s_12_01_23.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
愛知県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_23_GML.zip,A19s-00_23_GML.zip,A19s_12_02_23.shp,,,,,,,,,CP932,,4612,,都市基盤1,
愛知県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_23_GML.zip,A19s-00_23_GML.zip,A19s_12_03_23.shp,,,,,,,,,CP932,,4612,,都市基盤2,
愛知県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_23_GML.zip,A19s-00_23_GML.zip,A19s_12_04_23.shp,,,,,,,,,CP932,,4612,,産業,
愛知県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_23_GML.zip,A19s-95_23_GML.zip,A19s_07_01_23.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
