name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
港湾間流通量・海上経路（ライン）,,S10a,,,,,,,,,,,,,,,,,,
定期旅客航路（ライン）（ポイント）,,N09,,,,,,,,,,,,,,,,,,
パーソントリップ・交通変動量,,,,,,,,,,,,,,,,,,,,
発生・集中量（ポリゴン）（ライン）,,S05-a,,,,,,,,,,,,,,,,,,
OD量（ポリゴン）（ライン）,,S05-b,,,,,,,,,,,,,,,,,,
貨物旅客地域流動量（ポリゴン）（ライン）,,S05-d,,,,,,,,,,,,,,,,,,
5. 各種統計,,,,,,,,,,,,,,,,,,,,
1kmメッシュ別将来推計人口（H29国政局推計）（shape形式版）,,mesh1000,,,,,,,,,,,,,,,,,,
500mメッシュ別将来推計人口（H29国政局推計）（shape形式版）,,mesh500,,,,,,,,,,,,,,,,,,
1kmメッシュ別将来推計人口（H30国政局推計）（shape形式版）,,mesh1000h30,,,,,,,,,,,,,,,,,,
500mメッシュ別将来推計人口（H30国政局推計）（shape形式版）,,mesh500h30,,,,,,,,,,,,,,,,,,
