name_j,code_map,name_e,year,url,zip,shp,altdir,qml
地域密着型特定施設入居者生活介護（有料老人ホーム）,LTCI_361,Community-Based Residential Care in Fee-Based Nursing Home,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_361_all_20250106192814.csv,jigyosho_361_all_20250106192814.csv,jigyosho_361_all_20250106192814.csv,,
地域密着型特定施設入居者生活介護（軽費老人ホーム）,LTCI_362,Community-Based Residential Care in Low-Cost Elderly Home,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_362_all_20250106192817.csv,jigyosho_362_all_20250106192817.csv,jigyosho_362_all_20250106192817.csv,,
地域密着型特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_364,Community-Based Residential Care in Service-Integrated Housing for Older Persons,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_364_all_20250106192820.csv,jigyosho_364_all_20250106192820.csv,jigyosho_364_all_20250106192820.csv,,
特定福祉用具販売,LTCI_410,Sales of Specified Welfare Equipment,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_410_all_20250106192828.csv,jigyosho_410_all_20250106192828.csv,jigyosho_410_all_20250106192828.csv,,
居宅介護支援,LTCI_430,Care Management,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_430_all_20250106192914.csv,jigyosho_430_all_20250106192914.csv,jigyosho_430_all_20250106192914.csv,,
介護老人福祉施設,LTCI_510,Special Nursing Home for the Elderly,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_510_all_20250106192928.csv,jigyosho_510_all_20250106192928.csv,jigyosho_510_all_20250106192928.csv,,
介護老人保健施設,LTCI_520,Geriatric Health Services Facility,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_520_all_20250106192936.csv,jigyosho_520_all_20250106192936.csv,jigyosho_520_all_20250106192936.csv,,
介護療養型医療施設,LTCI_530,Long-Term Care Medical Facility,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_530_all_20250106192939.csv,jigyosho_530_all_20250106192939.csv,jigyosho_530_all_20250106192939.csv,,
地域密着型介護老人福祉施設入所者生活介護,LTCI_540,Community-Based Special Nursing Home Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_540_all_20250106192944.csv,jigyosho_540_all_20250106192944.csv,jigyosho_540_all_20250106192944.csv,,
介護医療院,LTCI_550,Integrated Facility for Medical and Long-Term Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_550_all_20250106193106.csv,jigyosho_550_all_20250106193106.csv,jigyosho_550_all_20250106193106.csv,,
夜間対応型訪問介護,LTCI_710,Night-Time Home-Visit Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_710_all_20250106192947.csv,jigyosho_710_all_20250106192947.csv,jigyosho_710_all_20250106192947.csv,,
認知症対応型通所介護,LTCI_720,Dementia Day Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_720_all_20250106192954.csv,jigyosho_720_all_20250106192954.csv,jigyosho_720_all_20250106192954.csv,,
小規模多機能型居宅介護,LTCI_730,Multifunctional Small Group Home Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_730_all_20250106193011.csv,jigyosho_730_all_20250106193011.csv,jigyosho_730_all_20250106193011.csv,,
定期巡回・随時対応型訪問介護看護,LTCI_760,Regular Patrol and On-Demand Home Care and Nursing,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_760_all_20250106193015.csv,jigyosho_760_all_20250106193015.csv,jigyosho_760_all_20250106193015.csv,,
看護小規模多機能型居宅介護,LTCI_770,Nursing Multifunctional Small Group Home Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_770_all_20250106193020.csv,jigyosho_770_all_20250106193020.csv,jigyosho_770_all_20250106193020.csv,,
地域密着型通所介護,LTCI_780,Community-Based Day Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_780_all_20250106193102.csv,jigyosho_780_all_20250106193102.csv,jigyosho_780_all_20250106193102.csv,,
訪問介護,LTCI_110,Home-Visit Care,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_110_all_20240701185053.zip,jigyosho_110_all_20240701185053.zip,jigyosho_110_all_20240701185053.csv,,
訪問入浴介護,LTCI_120,Home-Visit Bathing Care,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_120_all_20240701185057.zip,jigyosho_120_all_20240701185057.zip,jigyosho_120_all_20240701185057.csv,,
訪問看護,LTCI_130,Home-Visit Nursing,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_130_all_20240701185106.zip,jigyosho_130_all_20240701185106.zip,jigyosho_130_all_20240701185106.csv,,
訪問リハビリテーション,LTCI_140,Home-Visit Rehabilitation,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_140_all_20240701185111.zip,jigyosho_140_all_20240701185111.zip,jigyosho_140_all_20240701185111.csv,,
通所介護,LTCI_150,Day Care,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_150_all_20240701185143.zip,jigyosho_150_all_20240701185143.zip,jigyosho_150_all_20240701185143.csv,,
