availability,code_map,type_muni,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
富山,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
石川,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
福井,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
山梨,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
長野,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
岐阜,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
静岡,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
愛知 ,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
三重,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
滋賀,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
