availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
徳島,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
香川,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
愛媛,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
高知,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
福岡,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
佐賀,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
長崎,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
熊本,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
大分,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
宮崎,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
鹿児島,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
沖縄,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,P23b-{year2digit}_{code_pref}.shp,,{code_map}-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,,code_pref_muni,CP932,C23.qml,4612,
