availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
石川県 ,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-90/A19-901001_17_GML.zip,A19-901001_17_GML.zip,A19-901001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-85/A19-851001_17_GML.zip,A19-851001_17_GML.zip,A19-851001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-80/A19-801001_17_GML.zip,A19-801001_17_GML.zip,A19-801001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-75/A19-751001_17_GML.zip,A19-751001_17_GML.zip,A19-751001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-70/A19-701001_17_GML.zip,A19-701001_17_GML.zip,A19-701001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1965,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-65/A19-651001_17_GML.zip,A19-651001_17_GML.zip,A19-651001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1960,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-60/A19-601001_17_GML.zip,A19-601001_17_GML.zip,A19-601001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
石川県 ,1955,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-55/A19-551001_17_GML.zip,A19-551001_17_GML.zip,A19-551001_17_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-17/A19-17_22_GML.zip,A19-17_22_GML.zip,A19-17_22_GML/A19-17_22.shp,,,,,,,,,,A19-2017.qml,,
静岡県 ,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-07/A19-070402_22_GML.zip,A19-070402_22_GML.zip,A19-070402_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-05/A19-051001_22_GML.zip,A19-051001_22_GML.zip,A19-051001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-00/A19-001001_22_GML.zip,A19-001001_22_GML.zip,A19-001001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-95/A19-951001_22_GML.zip,A19-951001_22_GML.zip,A19-951001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-90/A19-901001_22_GML.zip,A19-901001_22_GML.zip,A19-901001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-85/A19-851001_22_GML.zip,A19-851001_22_GML.zip,A19-851001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-80/A19-801001_22_GML.zip,A19-801001_22_GML.zip,A19-801001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-75/A19-751001_22_GML.zip,A19-751001_22_GML.zip,A19-751001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-70/A19-701001_22_GML.zip,A19-701001_22_GML.zip,A19-701001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
静岡県 ,1965,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-65/A19-651001_22_GML.zip,A19-651001_22_GML.zip,A19-651001_22_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
愛知県 ,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-17/A19-17_23_GML.zip,A19-17_23_GML.zip,A19-17_23_GML/A19-17_23.shp,,,,,,,,,,A19-2017.qml,,
愛知県 ,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-07/A19-070402_23_GML.zip,A19-070402_23_GML.zip,A19-070402_23_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
愛知県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-05/A19-051001_23_GML.zip,A19-051001_23_GML.zip,A19-051001_23_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
愛知県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-00/A19-001001_23_GML.zip,A19-001001_23_GML.zip,A19-001001_23_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
