code_pref,code_muni,name_muni_j,code_mesh1,name_muni_e
5,213,北秋田市,6040,Kitaakita
5,214,にかほ市,5839,Nikaho
5,214,にかほ市,5840,Nikaho
5,215,仙北市,5940,Senboku
5,303,小坂町,6040,Kosaka
5,327,上小阿仁村,5940,Kamikoani
5,327,上小阿仁村,6040,Kamikoani
5,346,藤里町,6040,Fujisato
5,348,三種町,5940,Mitane
5,348,三種町,6039,Mitane
5,348,三種町,6040,Mitane
5,349,八峰町,6039,Happo
5,349,八峰町,6040,Happo
5,361,五城目町,5940,Gojome
5,361,五城目町,6040,Gojome
5,363,八郎潟町,5940,Hachirogata
5,366,井川町,5940,Ikawa
5,368,大潟村,5939,Ogata
5,368,大潟村,5940,Ogata
5,368,大潟村,6039,Ogata
5,368,大潟村,6040,Ogata
5,434,美郷町,5940,Misato
5,463,羽後町,5840,Ugo
5,464,東成瀬村,5840,Higashinaruse
6,201,山形市,5740,Yamagata
6,202,米沢市,5639,Yonezawa
6,202,米沢市,5640,Yonezawa
6,203,鶴岡市,5739,Tsuruoka
6,203,鶴岡市,5740,Tsuruoka
6,203,鶴岡市,5839,Tsuruoka
6,204,酒田市,5839,Sakata
6,204,酒田市,5840,Sakata
6,205,新庄市,5840,Shinjo
6,206,寒河江市,5740,Sagae
6,207,上山市,5740,Kaminoyama
6,208,村山市,5740,Murayama
6,209,長井市,5739,Nagaishi
6,209,長井市,5740,Nagaishi
6,210,天童市,5740,Tendo
6,211,東根市,5740,Higashine
6,212,尾花沢市,5740,Obanazawa
6,212,尾花沢市,5840,Obanazawa
6,213,南陽市,5740,Nanyo
6,301,山辺町,5740,Yamanobe
6,302,中山町,5740,Nakayama
6,321,河北町,5740,Kahoku
6,322,西川町,5739,Nishikawa
6,322,西川町,5740,Nishikawa
6,323,朝日町,5739,Asahi
6,323,朝日町,5740,Asahi
6,324,大江町,5739,Oe
6,324,大江町,5740,Oe
6,341,大石田町,5740,Oishida
6,361,金山町,5840,Kaneyama
6,362,最上町,5740,Mogami
6,362,最上町,5840,Mogami
6,363,舟形町,5740,Funagata
6,363,舟形町,5840,Funagata
6,364,真室川町,5840,Mamurogawa
6,365,大蔵村,5740,Okura
6,365,大蔵村,5840,Okura
6,366,鮭川村,5840,Sakegawa
6,367,戸沢村,5740,Tozawa
6,367,戸沢村,5840,Tozawa
6,381,高畠町,5640,Takahata
6,381,高畠町,5740,Takahata
6,382,川西町,5639,Kawanishi
6,382,川西町,5640,Kawanishi
6,382,川西町,5739,Kawanishi
6,382,川西町,5740,Kawanishi
6,401,小国町,5639,Oguni
6,401,小国町,5739,Oguni
6,402,白鷹町,5739,Shirataka
6,402,白鷹町,5740,Shirataka
6,403,飯豊町,5639,Iide
6,403,飯豊町,5739,Iide
6,403,飯豊町,5740,Iide
6,426,三川町,5839,Mikawa
6,428,庄内町,5739,Shonai
6,428,庄内町,5740,Shonai
6,428,庄内町,5839,Shonai
6,428,庄内町,5840,Shonai
6,461,遊佐町,5839,Yuza
6,461,遊佐町,5840,Yuza
7,201,福島市,5640,Fukushima
7,202,会津若松市,5539,Aizuwakamatsu
7,202,会津若松市,5540,Aizuwakamatsu
7,202,会津若松市,5639,Aizuwakamatsu
7,202,会津若松市,5640,Aizuwakamatsu
7,203,郡山市,5540,Koriyama
7,203,郡山市,5640,Koriyama
7,204,いわき市,5540,Iwaki
7,204,いわき市,5541,Iwaki
7,205,白河市,5540,Shirakawa
7,207,須賀川市,5540,Sukagawa
7,207,須賀川市,5640,Sukagawa
7,208,喜多方市,5639,Kitakata
7,208,喜多方市,5640,Kitakata
7,209,相馬市,5640,Soma
7,209,相馬市,5641,Soma
7,210,二本松市,5640,Nihonmatsu
7,211,田村市,5540,Tamura
7,211,田村市,5640,Tamura
7,212,南相馬市,5640,Minamisoma
7,212,南相馬市,5641,Minamisoma
7,213,伊達市,5640,Date
7,214,本宮市,5640,Motomiya
7,301,桑折町,5640,Kori
7,303,国見町,5640,Kunimi
7,308,川俣町,5640,Kawamata
7,322,大玉村,5640,Otama
7,342,鏡石町,5540,Kagamiishi
7,344,天栄村,5539,Tenei
7,344,天栄村,5540,Tenei
7,344,天栄村,5640,Tenei
7,362,下郷町,5539,Shimogo
7,362,下郷町,5540,Shimogo
7,362,下郷町,5639,Shimogo
7,364,檜枝岐村,5539,Hinoe
7,367,只見町,5539,Tadami
7,367,只見町,5639,Tadami
7,368,南会津町,5539,Minamiaizu
7,402,北塩原村,5639,Kitashiobara
7,402,北塩原村,5640,Kitashiobara
7,405,西会津町,5639,Nishiaizu
7,407,磐梯町,5639,Bandai
7,407,磐梯町,5640,Bandai
7,408,猪苗代町,5640,Inawashiro
7,421,会津坂下町,5639,Aizubange
7,422,湯川村,5639,Yukawa
7,423,柳津町,5639,Yanaizu
7,444,三島町,5639,Mishima
7,445,金山町,5539,Kaneyama
7,445,金山町,5639,Kaneyama
7,446,昭和村,5539,Showa
7,446,昭和村,5639,Showa
7,447,会津美里町,5539,Aizumisato
7,447,会津美里町,5639,Aizumisato
7,461,西郷村,5539,Nishigo
7,461,西郷村,5540,Nishigo
7,464,泉崎村,5540,Izumizaki
7,465,中島村,5540,Nakajima
7,466,矢吹町,5540,Yabuki
7,481,棚倉町,5540,Tanagura
7,482,矢祭町,5540,Yamatsuri
7,483,塙町,5540,Hanawa
7,484,鮫川村,5540,Samegaw
7,501,石川町,5540,Ishikawa
7,502,玉川村,5540,Tamakawa
7,503,平田村,5540,Hirata
7,504,浅川町,5540,Asakawa
7,505,古殿町,5540,Furudono
7,521,三春町,5640,Miharu
7,522,小野町,5540,Ono
7,522,小野町,5640,Ono
7,541,広野町,5540,Hirono
7,541,広野町,5541,Hirono
7,542,楢葉町,5540,Naraha
7,542,楢葉町,5541,Naraha
7,542,楢葉町,5640,Naraha
7,543,富岡町,5540,Tomioka
7,543,富岡町,5541,Tomioka
7,543,富岡町,5640,Tomioka
7,543,富岡町,5641,Tomioka
7,544,川内村,5540,Kawauchi
7,544,川内村,5640,Kawauchi
7,545,大熊町,5640,Okuma
7,545,大熊町,5641,Okuma
7,546,双葉町,5640,Futaba
7,546,双葉町,5641,Futaba
7,547,浪江町,5640,Namie
7,547,浪江町,5641,Namie
7,548,葛尾村,5640,Katurao
7,561,新地町,5640,Shinchi
7,564,飯舘村,5640,Iitate
